ConsoID,ConsolidatedAmountID,CurrCode,Amount,TransactionCurrCode,TransactionAmount
2,229826783,EUR,4850930.39,NULL,NULL
2,229826784,EUR,59557.74,NULL,NULL
2,229826785,EUR,-124392,NULL,NULL
2,229826786,EUR,104236.67,NULL,NULL
2,229826787,EUR,65511.2,NULL,NULL
2,229826788,EUR,63020.08,NULL,NULL
2,229826789,EUR,4383.06,NULL,NULL
2,229826790,EUR,19404.7,NULL,NULL
2,229826791,EUR,-7274165.41,NULL,NULL
2,229826792,EUR,-1793.67,NULL,NULL
2,229826793,EUR,0,NULL,NULL
2,229826794,EUR,21810,NULL,NULL
2,229826795,EUR,1110216.59,NULL,NULL
2,229826796,EUR,184842.58,NULL,NULL
2,229826797,EUR,-123910.52,NULL,NULL
2,229826798,EUR,-668061.38,NULL,NULL
2,229826799,EUR,-20045.06,NULL,NULL
2,229826800,EUR,486302.56,NULL,NULL
2,229826801,EUR,18393.07,NULL,NULL
2,229826802,EUR,38827.68,NULL,NULL
2,229826803,EUR,133491.72,NULL,NULL
2,229826804,EUR,302721,NULL,NULL
2,229826805,EUR,80064,NULL,NULL
2,229826806,EUR,-4287.9,NULL,NULL
2,229826807,EUR,-83.33,NULL,NULL
2,229826808,EUR,-2569883.1,NULL,NULL
2,229826809,EUR,-124773.86,NULL,NULL
2,229826810,EUR,2104510.86,NULL,NULL
2,229826811,EUR,33134.85,NULL,NULL
2,229826812,EUR,241765.21,NULL,NULL
2,229826813,EUR,0,NULL,NULL
2,229826814,EUR,-129509.95,NULL,NULL
2,229826815,EUR,54559.43,NULL,NULL
2,229826816,EUR,15445.66,NULL,NULL
2,229826817,EUR,53926.62,NULL,NULL
2,229826818,EUR,103189.03,NULL,NULL
2,229826819,EUR,85950.15,NULL,NULL
2,229826820,EUR,-4842805.91,NULL,NULL
2,229826821,EUR,-15000,NULL,NULL
2,229826822,EUR,-28687.7,NULL,NULL
2,229826823,EUR,-624163.47,NULL,NULL
2,229826824,EUR,111893.59,NULL,NULL
2,229826825,EUR,1159.23,NULL,NULL
2,229826826,EUR,424688.27,NULL,NULL
2,229826827,EUR,-2521003.69,NULL,NULL
2,229826828,EUR,-567031.85,NULL,NULL
2,229826829,EUR,4762630.96,NULL,NULL
2,229826830,EUR,4878618.11,NULL,NULL
2,229826831,EUR,-115866.39,NULL,NULL
2,229826832,EUR,287698.95,NULL,NULL
2,229826833,EUR,513407.4,NULL,NULL
2,229826834,EUR,197577.17,NULL,NULL
2,229826835,EUR,132851.67,NULL,NULL
2,229826836,EUR,-7248.17,NULL,NULL
2,229826837,EUR,18173.4,NULL,NULL
2,229826838,EUR,613147.65,NULL,NULL
2,229826839,EUR,-162000,NULL,NULL
2,229826840,EUR,-439645.41,NULL,NULL
2,229826841,EUR,2360.52,NULL,NULL
2,229826842,EUR,-34566.03,NULL,NULL
2,229826843,EUR,1098206.56,NULL,NULL
